Algorithm,Scaling,Number_of_Features,aupr_mean
GB,Standard,156,96.276
GB,Standard,157,96.314
GB,Standard,158,96.058
GB,Standard,159,96.22200000000001
GB,Standard,160,96.108
GB,Standard,161,96.234
GB,Standard,162,96.212
GB,Standard,163,96.082
GB,Standard,164,96.346
GB,Standard,165,96.19200000000001
GB,Standard,166,96.036
GB,Standard,167,96.338
GB,Standard,168,96.178
GB,Standard,169,96.34200000000001
GB,Standard,170,96.386
GB,Standard,171,96.24600000000001
GB,Standard,172,96.5
GB,Standard,173,96.556
GB,Standard,174,96.084
GB,Standard,175,96.27000000000001
GB,Standard,176,96.288
GB,Standard,177,96.176
GB,Standard,178,96.466
GB,Standard,179,96.22200000000001
GB,Standard,180,96.252
GB,Standard,181,96.168
GB,Standard,182,96.298
GB,Standard,183,96.25
GB,Standard,184,96.662
GB,Standard,185,96.48400000000001
GB,Standard,186,96.236
GB,Standard,187,96.598
GB,Standard,188,96.654
LR,MinMax,1,93.77000000000001
LR,MinMax,2,94.63199999999999
LR,MinMax,3,94.91600000000001
LR,MinMax,4,94.988
LR,MinMax,5,94.958
LR,MinMax,6,95.36800000000001
LR,MinMax,7,95.376
LR,MinMax,8,95.30199999999999
LR,MinMax,9,95.328
LR,MinMax,10,95.36800000000001
LR,MinMax,11,95.386
LR,MinMax,12,95.514
LR,MinMax,13,95.598
LR,MinMax,14,95.638
LR,MinMax,15,95.79400000000001
LR,MinMax,16,95.75399999999999
LR,MinMax,17,95.862
LR,MinMax,18,95.97200000000001
LR,MinMax,19,95.768
LR,MinMax,20,95.78
LR,MinMax,21,96.01
LR,MinMax,22,96.09400000000001
LR,MinMax,23,96.024
LR,MinMax,24,95.936
LR,MinMax,25,95.946
LR,MinMax,26,96.048
LR,MinMax,27,95.99600000000001
LR,MinMax,28,95.788
LR,MinMax,29,95.892
LR,MinMax,30,95.914
LR,MinMax,31,95.92
LR,MinMax,32,95.882
LR,MinMax,33,95.828
LR,MinMax,34,96.054
LR,MinMax,35,95.874
LR,MinMax,36,95.936
LR,MinMax,37,95.876
LR,MinMax,38,95.836
LR,MinMax,39,95.74
LR,MinMax,40,96.0
LR,MinMax,41,95.636
LR,MinMax,42,95.614
LR,MinMax,43,95.904
LR,MinMax,44,95.874
LR,MinMax,45,95.83
LR,MinMax,46,95.664
LR,MinMax,47,95.6
LR,MinMax,48,95.564
LR,MinMax,49,95.54400000000001
LR,MinMax,50,95.088
LR,MinMax,51,95.154
LR,MinMax,52,95.292
LR,MinMax,53,95.22200000000001
LR,MinMax,54,94.976
LR,MinMax,55,95.062
LR,MinMax,56,94.99199999999999
LR,MinMax,57,94.936
LR,MinMax,58,95.02000000000001
LR,MinMax,59,94.78200000000001
LR,MinMax,60,94.744
LR,MinMax,61,94.84200000000001
LR,MinMax,62,94.636
LR,MinMax,63,94.438
LR,MinMax,64,94.73400000000001
LR,MinMax,65,94.646
LR,MinMax,66,94.37
LR,MinMax,67,94.724
LR,MinMax,68,94.456
LR,MinMax,69,94.338
LR,MinMax,70,94.26
LR,MinMax,71,94.232
LR,MinMax,72,93.91
LR,MinMax,73,93.94000000000001
LR,MinMax,74,94.0
LR,MinMax,75,93.734
LR,MinMax,76,93.49
LR,MinMax,77,93.492
LR,MinMax,78,93.56800000000001
LR,MinMax,79,93.68199999999999
LR,MinMax,80,93.598
LR,MinMax,81,93.612
LR,MinMax,82,93.684
LR,MinMax,83,93.81
LR,MinMax,84,93.792
LR,MinMax,85,93.79400000000001
LR,MinMax,86,93.836
LR,MinMax,87,93.77799999999999
LR,MinMax,88,93.752
LR,MinMax,89,94.09
LR,MinMax,90,93.884
LR,MinMax,91,93.846
LR,MinMax,92,94.078
LR,MinMax,93,94.31
LR,MinMax,94,94.16999999999999
LR,MinMax,95,94.178
LR,MinMax,96,94.16
LR,MinMax,97,94.12
LR,MinMax,98,94.24
LR,MinMax,99,94.214
LR,MinMax,100,94.17999999999999
LR,MinMax,101,94.056
LR,MinMax,102,94.252
LR,MinMax,103,93.97999999999999
LR,MinMax,104,94.026
LR,MinMax,105,93.83399999999999
LR,MinMax,106,93.85999999999999
LR,MinMax,107,93.784
LR,MinMax,108,93.78999999999999
LR,MinMax,109,93.74600000000001
LR,MinMax,110,94.014
LR,MinMax,111,93.75800000000001
LR,MinMax,112,93.748
LR,MinMax,113,93.842
LR,MinMax,114,93.928
LR,MinMax,115,94.012
LR,MinMax,116,93.61
LR,MinMax,117,93.79400000000001
LR,MinMax,118,94.09400000000001
LR,MinMax,119,94.046
LR,MinMax,120,93.968
LR,MinMax,121,93.938
LR,MinMax,122,94.05799999999999
LR,MinMax,123,94.02
LR,MinMax,124,94.078
LR,MinMax,125,94.17999999999999
LR,MinMax,126,94.43199999999999
LR,MinMax,127,94.15599999999999
LR,MinMax,128,94.196
LR,MinMax,129,94.082
LR,MinMax,130,93.8
LR,MinMax,131,94.00399999999999
LR,MinMax,132,93.982
LR,MinMax,133,93.86800000000001
LR,MinMax,134,93.70599999999999
LR,MinMax,135,93.51599999999999
LR,MinMax,136,93.48400000000001
LR,MinMax,137,93.22999999999999
LR,MinMax,138,93.70599999999999
LR,MinMax,139,93.514
LR,MinMax,140,93.262
LR,MinMax,141,93.328
LR,MinMax,142,93.15
LR,MinMax,143,93.11800000000001
LR,MinMax,144,93.164
LR,MinMax,145,93.204
LR,MinMax,146,93.22999999999999
LR,MinMax,147,93.44800000000001
LR,MinMax,148,93.404
LR,MinMax,149,93.434
LR,MinMax,150,93.488
LR,MinMax,151,93.442
LR,MinMax,152,93.352
LR,MinMax,153,93.0
LR,MinMax,154,92.93199999999999
LR,MinMax,155,92.844
LR,MinMax,156,92.95
LR,MinMax,157,92.872
LR,MinMax,158,92.78999999999999
LR,MinMax,159,92.828
LR,MinMax,160,93.212
LR,MinMax,161,93.22999999999999
LR,MinMax,162,93.216
LR,MinMax,163,93.186
LR,MinMax,164,93.148
LR,MinMax,165,93.108
LR,MinMax,166,93.104
LR,MinMax,167,93.16600000000001
LR,MinMax,168,93.164
LR,MinMax,169,92.944
LR,MinMax,170,92.92
LR,MinMax,171,93.106
LR,MinMax,172,93.014
LR,MinMax,173,92.94200000000001
LR,MinMax,174,93.042
LR,MinMax,175,93.042
LR,MinMax,176,93.024
LR,MinMax,177,93.228
LR,MinMax,178,93.212
LR,MinMax,179,93.24199999999999
LR,MinMax,180,93.172
LR,MinMax,181,93.092
