CompanyId,PersianYear,Return,Beta,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital,r_dicho,b_dicho
289,1398,356.3523433,0.884325337,0.0,888259.0,3.18,187.0833336,0.81,53.74,0.43,20,0.43,12900000000000.0,766476.0,996699.0,4.21,1699658.0,92.29,1.17,500.0,0.33,2.54,31.73,1.19,43.97,41.1,851.0,0.33,16.86,32.32,900000.0,6.11,4.58,11.59,0.3,1.3,76.87,35.33,31.49,27.17,54.35,83.17,5.04,1.27,31.9,12.32,32.42,53.74,1,1
292,1398,532.7294687,0.950526892,0.0,145494.0,4.98,187.0833336,0.91,59.06,0.96,20,0.05,4620000000000.0,130575.0,167924.0,2.91,247727.0,96.07,1.27,700.0,0.03,1.84,34.24,1.45,80.51,49.62,1088.0,0.54,35.37,44.54,120000.0,15.79,9.51,20.74,0.45,1.45,69.14,34.57,29.96,26.88,46.27,99.45,5.61,1.29,24.71,26.32,31.8,59.06,1,1
308,1398,361.8934748,1.028551085,0.0,683439.0,3.55,187.0833336,0.91,57.08,1.56,20,0.79,12300000000000.0,492582.0,812189.0,2.03,1099084.0,99.96,4719703.5,300.0,1.38,0.81,23.16,0.72,79.69,54.63,1368.0,1.38,24.91,27.17,360000.0,10.87,4.73,3.44,1.13,2.13,46.88,31.33,26.36,19.0,49.57,83.29,6.17,1.2,13.89,-8.95,26.78,57.08,1,-1
309,1398,727.8451531,0.958346078,0.0,318328.0,6.13,187.0833336,0.97,30.73,2.07,20,0.61,4720000000000.0,247150.0,395026.0,1.78,460736.0,95.62,1926057.0,800.0,3.74,0.97,27.89,0.76,34.5,65.49,1133.0,5.96,19.09,34.91,218000.0,9.71,4.53,23.08,1.23,2.23,44.85,37.99,30.97,23.77,166.59,98.83,7.38,0.99,20.97,21.29,32.86,70.28,1,1
312,1398,426.2879156,1.095841824,0.0,3468949.0,11.19,187.0833336,0.67,3445.09,2.18,20,0.43,36900000000000.0,3751275.0,4297178.0,1.4,2819701.0,90.25,31852762.5,900.0,0.35,1.32,30.8,0.94,35.46,66.47,1172.0,1.39,9.84,48.95,3200000.0,4.97,1.8,25.15,0.98,1.98,50.46,20.94,16.9,18.28,82.66,96.86,3.99,2.08,15.59,13.55,20.29,209.06,1,-1
313,1398,666.9291337,0.962822616,0.0,97530.0,4.07,187.0833336,0.87,87.37,1.98,20,0.31,4160000000000.0,96579.0,151674.0,1.51,192243.0,88.27,973276.0,399.0,1.23,0.57,16.81,0.46,50.38,45.64,878.0,1.22,43.12,30.6,109957.0,16.91,10.44,20.0,1.75,2.75,36.4,38.02,24.45,24.21,64.7,92.85,11.71,0.67,27.56,22.29,31.29,60.59,1,1
322,1398,378.7647801,0.805617751,0.0,728017.0,7.38,187.0833336,0.88,59.17,2.34,20,0.22,12400000000000.0,659944.0,982167.0,1.55,1369249.0,95.33,8738925.5,1500.0,0.88,0.81,15.29,0.57,99.16,49.05,4364.0,0.88,18.75,28.03,151200.0,7.66,2.8,10.26,2.23,3.23,30.96,22.21,16.46,14.92,25.19,89.15,6.09,0.97,3.42,11.76,19.5,59.17,1,1
329,1398,302.462121,1.328811648,0.0,5165444.0,7.98,187.0833336,0.93,64.2,3.02,20,-0.26,79500000000000.0,3874247.0,3433616.0,1.42,7373966.0,97.15,0.36,350.0,1.5,0.4,15.91,1.0,362.18,50.51,1033.0,1.49,20.52,22.93,3750000.0,8.88,8.12,1.51,2.03,3.03,33.04,27.24,59.2,44.4,97.41,96.17,6.4,0.35,42.98,-40.2,65.25,63.69,1,-1
330,1398,475.3968253,1.085275074,0.0,1036181.0,3.45,187.0833336,0.9,66.31,3.14,20,0.06,14300000000000.0,985583.0,1262309.0,1.88,1871636.0,93.4,0.99,800.0,1.21,0.72,24.73,0.93,98.53,61.49,1971.0,1.21,14.55,38.66,500000.0,7.23,3.64,7.88,1.25,2.25,44.45,32.07,26.33,25.04,109.51,86.22,5.84,0.98,12.7,21.3,32.23,66.31,1,-1
332,1398,1543.207661,0.325744414,0.0,1872648.0,8.28,187.0833336,0.96,53.81,1.09,20,0.24,55800000000000.0,1530279.0,2004735.0,2.64,2933090.0,90.44,0.93,450.0,0.45,0.97,38.75,1.27,64.25,70.45,1530.0,1.42,36.49,42.65,1000000.0,18.5,15.18,15.91,0.65,1.65,60.5,54.51,50.92,41.61,105.61,90.6,3.66,0.78,27.19,14.44,53.55,72.57,1,1
338,1398,1840.540541,1.03324115,0.0,397865.0,4.13,187.0833336,0.86,31.49,4.27,20,-2.81,39000000000000.0,302921.0,702478.0,1.99,1076003.0,96.63,0.79,50.0,-4.88,0.73,11.34,1.29,295.61,50.46,504.0,-4.86,128.98,13.31,600000.0,51.88,18.47,4.72,3.2,4.2,23.84,33.07,18.65,14.15,113.23,68.55,9.53,0.78,28.41,7.78,25.26,30.61,1,-1
