CompanyId,PersianYear,Return,Beta,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
255,1394,70.58823541,1.141535082,0.62,217368.0,0.88,28.2857682,0.58,9.62,2.68,20,5.03,974000000000.0,-9140.0,390359.0,0.96,-41151.0,63.63,0.49,1.0,-1.53,0.52,0.93,0.53,87.55,2.86,-18.0,-1.53,-108.22,1.36,500000.0,1.53,1.11,1.52,2.68,3.68,27.18,44.3,24.67,-1.04,-39.58,85.32,9.91,0.86,56.74,13.33,26.22,9.62
258,1394,-9.169054484,0.108565512,0.4,210940.0,1.03,28.2857682,0.57,34.42,0.66,20,-0.38,1670000000000.0,129588.0,297345.0,2.9,562951.0,75.88,0.58,179.0,-0.65,0.95,7.93,1.23,45.85,11.39,148.0,-0.65,12.93,9.78,874491.0,1.2,1.64,6.68,0.63,1.63,61.39,29.1,20.64,12.68,-17.54,100.0,8.45,0.99,85.57,13.13,20.98,31.53
259,1394,-17.94071763,-0.059986884,0.55,95966.0,7.45,28.2857682,0.79,9.36,1.43,20,-0.71,1980000000000.0,51353.0,118090.0,1.57,546704.0,62.14,1.58,100.0,-0.74,1.36,2.48,0.75,29.56,5.73,79.0,-0.67,38.52,3.4,650000.0,2.19,0.6,6.56,1.21,2.21,45.26,3.6,2.92,1.56,-11.0,91.85,2.26,2.19,19.69,25.26,5.68,9.34
264,1394,-26.4646465,-0.41366544,0.57,155965.0,3.71,28.2857682,0.8,19.79,1.36,20,-0.38,3440000000000.0,93143.0,197594.0,1.65,517205.0,60.62,1.88,70.0,-0.37,1.55,5.77,0.96,4.08,9.93,217.0,-0.37,37.0,8.76,429000.0,3.53,1.13,16.99,0.81,1.81,55.31,6.5,5.13,3.07,19.64,100.0,1.73,2.34,14.12,3.86,5.53,19.79
268,1394,77.60314348,0.915739107,0.0,75336.0,0.87,28.2857682,0.36,45.7,0.88,20,2.76,672000000000.0,60978.0,158727.0,1.39,120232.0,0.0,0.65,3.0,-0.79,1.04,5.18,0.56,78.74,9.23,89.0,1.82,11.12,5.76,678347.0,0.98,0.88,4.11,0.68,1.68,59.39,20.77,9.86,7.98,-25.25,62.06,4.75,1.89,88.77,13.08,13.16,108.08
269,1394,21.79930803,1.876977018,0.0,274428.0,3.46,28.2857682,0.86,24.7,4.84,20,0.02,1540000000000.0,107040.0,355511.0,1.2,514389.0,0.0,0.92,100.0,-0.21,0.76,2.34,0.51,190.79,10.36,237.0,-0.21,7.22,4.26,900000.0,1.42,0.36,12.51,2.47,3.47,28.79,8.43,6.5,2.54,-31.62,94.35,2.73,1.38,10.66,20.27,12.72,24.7
271,1394,-16.75579321,1.38827717,0.0,174513.0,1.37,28.2857682,0.6,8.4,0.73,20,-0.46,4030000000000.0,115569.0,191906.0,1.74,1223903.0,0.0,0.46,6.0,-0.85,1.07,2.14,0.94,532.81,3.2,57.0,-0.85,35.39,3.05,2000000.0,1.2,1.58,3.27,0.51,1.51,66.08,7.69,6.99,4.63,16.08,91.64,4.61,0.94,78.19,19.2,7.52,8.4
273,1394,30.00000003,1.16216829,0.0,-53827.0,0.77,28.2857682,0.78,-7.81,0.98,20,284.75,460000000000.0,-95134.0,-11525.0,3.09,236810.0,0.0,0.47,,,1.31,-3.75,1.01,96.25,-5.3,-295.0,323.69,-4.84,-4.99,322000.0,1.37,2.03,0.62,0.98,1.98,50.6,-5.1,-23.8,-42.06,-36.05,92.73,14.03,0.68,142.35,-18.01,-19.76,-54.37
274,1394,2.915451865,0.528794573,0.0,-24263.0,2.01,28.2857682,0.71,6.77,1.47,20,-0.18,298000000000.0,-28705.0,320.0,1.5,100918.0,0.0,1.07,,-1.77,1.06,1.82,0.48,69.74,3.47,-239.0,-1.77,-10.38,2.65,120000.0,1.44,0.7,10.96,1.29,2.29,43.59,0.08,-5.74,-6.79,13.88,91.78,5.8,1.61,28.37,19.03,-4.08,-30.48
275,1394,-19.81981981,0.102909195,0.0,276.0,1.76,28.2857682,0.44,5.18,1.08,20,-0.91,107000000000.0,294.0,3438.0,1.17,4675.0,0.0,1.26,,-0.96,1.09,0.41,0.72,73.83,0.71,5.0,-0.91,432.6,0.65,49535.0,2.58,1.19,12.74,0.76,1.76,56.87,3.83,0.31,0.33,1.04,87.6,4.2,2.78,55.18,6.36,0.33,5.18
278,1394,-5.18518523,1.524196752,0.0,-17619.0,1.24,28.2857682,0.91,1.89,0.55,20,0.81,252000000000.0,354.0,5930.0,3.77,128466.0,0.0,0.22,,-0.71,0.51,1.22,2.43,1727.62,1.66,2.0,-0.71,786.0,1.58,160000.0,1.73,6.1,6.64,0.55,1.55,64.56,14.39,-42.74,0.86,-42.6,96.54,49.74,0.24,388.17,-19.06,0.86,0.3
289,1394,-23.42519685,-0.042749635,,240458.0,,28.2857682,,,,20,,1650000000000.0,184726.0,313257.0,,,,,200.0,-0.21,,,,,,369.0,-0.21,8.93,,500000.0,1.56,1.67,11.18,0.32,1.32,75.54,31.75,24.37,18.72,-22.98,98.71,7.77,1.07,50.68,36.93,25.29,34.83
292,1394,29.7229219,0.124671606,,80504.0,,28.2857682,,,,20,,539000000000.0,78119.0,96063.0,,,,,1500.0,0.15,,,,,,1952.0,0.15,6.91,,40000.0,3.48,2.33,29.39,0.4,1.4,71.3,41.57,34.84,33.81,17.85,98.19,7.3,1.27,17.31,26.7,41.75,69.22
308,1394,18.89952296,1.339638103,,118670.0,,28.2857682,,,,20,,872000000000.0,12707.0,224374.0,,,,,57.0,-0.93,,,,,,35.0,-0.89,69.23,,360000.0,1.44,0.68,2.07,2.2,3.2,31.3,17.37,9.19,0.98,0.4,90.65,7.38,0.99,27.86,12.49,9.71,3.36
309,1394,13.10043672,0.804556022,,51026.0,,28.2857682,,,,20,,292000000000.0,68508.0,81331.0,,,,,150.0,0.5,,,,,,462.0,1.99,4.27,,148000.0,1.2,1.17,8.27,0.62,1.62,61.83,32.54,20.42,27.41,14.21,95.09,12.1,0.72,59.22,-10.1,36.54,41.52
311,1394,-11.19842824,1.96520244,,53132.0,,28.2857682,,,,20,,1560000000000.0,-7951.0,113829.0,,,,,,-1.06,,,,,,-4.0,-1.07,-227.0,,1723027.0,1.24,3.41,29.27,0.57,1.57,63.76,24.81,11.58,-1.73,-54.24,94.28,14.46,0.7,375.55,27.83,15.2,-19.66
312,1394,0.621117984,1.332334532,,523415.0,,28.2857682,,,,20,,3650000000000.0,668947.0,904411.0,,,,,350.0,-0.71,,,,,,371.0,-0.42,5.47,,1800000.0,1.21,0.6,41.3,0.94,1.94,51.53,14.95,8.65,11.06,-28.02,96.85,6.51,1.74,29.75,5.81,16.68,57.86
313,1394,5.976806399,1.458483019,,28761.0,,28.2857682,,,,20,,273000000000.0,17428.0,58706.0,,,,,119.0,-0.76,,,,,,158.0,-0.1,15.73,,109957.0,1.85,1.79,2.82,0.76,1.76,56.68,38.45,18.84,11.41,-5.12,81.08,14.9,0.9,72.01,14.73,18.82,21.47
322,1394,52.31053606,0.583437397,,73999.0,,28.2857682,,,,20,,1590000000000.0,145496.0,196337.0,,,,,500.0,-0.25,,,,,,962.0,-0.25,10.91,,151200.0,2.29,1.17,2.58,2.6,3.6,27.75,14.46,5.45,10.72,-18.6,79.56,9.5,0.65,11.14,-7.94,15.41,26.54
329,1394,86.5454547,0.826678156,,1743369.0,,28.2857682,,,,20,,22100000000000.0,1124693.0,1815052.0,,,,,750.0,0.04,,,,,,749.0,0.04,19.66,,1500000.0,5.5,4.43,1.3,2.33,3.33,29.99,40.19,38.61,24.91,14.73,97.1,5.82,0.45,30.09,-8.48,44.88,72.45
330,1394,22.3404255,0.612538151,,158117.0,,28.2857682,,,,20,,1330000000000.0,149922.0,233642.0,,,,,350.0,-0.13,,,,,,624.0,-0.13,7.12,,300000.0,2.41,1.5,0.71,1.35,2.35,42.62,26.3,17.8,16.88,40.7,64.25,7.48,0.82,27.02,14.64,19.74,23.56
332,1394,86.80351904,0.951234171,,236030.0,,28.2857682,,,,20,,1650000000000.0,198280.0,296419.0,,,,,700.0,0.44,,,,,,793.0,0.44,8.32,,250000.0,1.98,1.96,17.94,0.47,1.47,68.08,35.17,28.0,23.52,39.29,77.89,5.24,0.75,29.66,32.66,31.19,27.72
338,1394,48.95833345,1.217422379,,76978.0,,28.2857682,,,,20,,1300000000000.0,154364.0,258818.0,,,,,,-2.07,,,,,,257.0,-2.07,8.42,,600000.0,1.96,1.12,7.4,2.76,3.76,26.62,22.39,6.66,13.36,-16.72,89.77,10.71,0.54,51.91,2.44,37.16,33.75
340,1394,-19.08482142,1.139118263,,170242.0,,28.2857682,,,,20,,797000000000.0,81166.0,299958.0,,,,,200.0,0.04,,,,,,1503.0,0.04,3.27,,162000.0,2.44,0.43,1.28,6.52,7.52,13.3,16.37,9.29,4.43,4.59,97.55,7.34,1.0,2.95,8.74,15.09,61.55
351,1394,86.4,2.140903441,,9053866.0,,28.2857682,,,,20,,71100000000000.0,819534.0,19441404.0,,,,,5.0,-0.89,,,,,,53.0,-0.86,87.62,,15300000.0,3.95,0.39,2.38,6.64,7.64,13.09,10.56,4.92,0.45,9.98,80.01,6.83,1.88,8.31,-13.51,6.49,-36.8
